Rank,Japanese,Kana,Vietnamese,English
1784,条項,じょうこう,,
1785,マルチタスク,まるちたすく,,
1786,刷新する,さっしんする,,
1787,インフォメーション,いんふぉめーしょん,,
1788,拡充する,かくじゅうする,,
1789,スループット,するーぷっと,,
1790,書き直す,かきなおす,,
1791,加算する,かさんする,,
1792,反転する,はんてんする,,
1793,セクタ,せくた,,
1794,直下,ちょっか,,
1795,スワイプ,すわいぷ,,
1796,矛盾する,むじゅんする,,
1797,来訪,らいほう,,
1798,低減する,ていげんする,,
1799,メールサーバ,めーるさーば,,
1800,スタディ,すたでぃ,,
1801,挙げられる,あげられる,,
1802,メッセージング,めっせーじんぐ,,
1803,内訳,うちわけ,,
1804,テスター,てすたー,,
1805,手順書,てじゅんしょ,,
1806,背景画像,はいけいがぞう,,
1807,不備,ふび,,
1808,可否,かひ,,
1809,データセット,でーたせっと,,
1810,ディスカッション,でぃすかっしょん,,
1811,多岐,たき,,
1812,不適切,ふてきせつ,,
1813,スタンドアロン,すたんどあろん,,
1814,一意,いちい,,
1815,増収,ぞうしゅう,,
1816,緯度,いど,,
1817,難読,なんどく,,
1818,厳格,げんかく,,
1819,点滅する,てんめつする,,
1820,エレクトロニクス,えれくとろにくす,,
1821,フッター,ふったー,,
1822,正解する,せいかいする,,
1823,シンクライアント,しんくらいあんと,,
1824,進出する,しんしゅつする,,
1825,実効,じっこう,,
1826,書面,しょめん,,
1827,消失する,しょうしつする,,
1828,ロケーション,ろけーしょん,,
1829,液晶ディスプレイ,えきしょうでぃすぷれい,,
1830,文字通り,もじどおり,,
1831,激化,げきか,,
1832,マルチコア,まるちこあ,,
1833,引き抜く,ひきぬく,,
1834,ユビキタス,ゆびきたす,,
1835,傍受する,ぼうじゅする,,
1836,識別子,しきべつし,,
1837,マウスカーソル,まうすかーそる,,
1838,助言,じょげん,,
1839,詳細設計,しょうさいせっけい,,
1840,真似る,まねる,,
1841,地形,ちけい,,
1842,なりすます,なりすます,,
1843,プロンプト,ぷろんぷと,,
1844,各自,かくじ,,
1845,増益,ぞうえき,,
1846,長所,ちょうしょ,,
1847,四つ,よっつ,,
1848,増大,ぞうだい,,
1849,不完全,ふかんぜん,,
1850,悩ます,なやます,,
1851,変革,へんかく,,
1852,大小,だいしょう,,
1853,ネスト,ねすと,,
1854,アクセス権限,あくせすけんげん,,
1855,役立てる,やくだてる,,
1856,有志,ゆうし,,
1857,基本ソフト,きほんそふと,,
1858,所定,しょてい,,
1859,件名,けんめい,,
1860,途上,とじょう,,
1861,稼働中,かどうちゅう,,
1862,スキーム,すきーむ,,
1863,造語,ぞうご,,
1864,テキストボックス,てきすとぼっくす,,
1865,経度,けいど,,
1866,軽視,けいし,,
1867,閉鎖する,へいさする,,
1868,推移,すいい,,
1869,語句,ごく,,
1870,関与する,かんよする,,
1871,送付,そうふ,,
1872,テクスチャ,てくすちゃ,,
1873,協調する,きょうちょうする,,
1874,注釈,ちゅうしゃく,,
1875,集積する,しゅうせきする,,
1876,簡略,かんりゃく,,
1877,情報源,じょうほうげん,,
1878,ホスティングサービス,ほすてぃんぐさーびす,,
1879,盛ん,さかん,,
1880,文言,もんごん,,
1881,百科,ひゃっか,,
1882,見積もる,みつもる,,
1883,尺度,しゃくど,,
1884,カードスロット,かーどすろっと,,
1885,一貫する,いっかんする,,
1886,暗黙,あんもく,,
1887,リフレッシュ,りふれっしゅ,,
1888,テクノ,てくの,,
1889,悪影響,あくえいきょう,,
1890,最良,さいりょう,,
1891,使い慣れる,つかいなれる,,
1892,並べ替え,ならべかえ,,
1893,無数,むすう,,
1894,最少,さいしょう,,
1895,客観,きゃっかん,,
1896,ミッションクリティカル,みっしょんくりてぃかる,,
1897,呈す,ていす,,
1898,トレース,とれーす,,
1899,データウェアハウス,でーたうぇあはうす,,
1900,取り消す,とりけす,,
1901,均等,きんとう,,
1902,照合する,しょうごうする,,
1903,プリインストール,ぷりいんすとーる,,
1904,リリースノート,りりーすのーと,,
1905,模する,もする,,
1906,ローエンド,ろーえんど,,
1907,巡回,じゅんかい,,
1908,現像,げんしょう,,
1909,情報発信,じょうほうはっしん,,
1910,オーバーレイ,おーばーれい,,
1911,多言,たげん,,
1912,修正プログラム,しゅうせいぷろぐらむ,,
1913,地名,ちめい,,
1914,リレーショナルデータベース,りれーしょなるでーたべーす,,
1915,輪郭,りんかく,,
1916,ブロードバンド,ぶろーどばんど,,
1917,安易,あんい,,
1918,過度,かど,,
1919,入手可能,にゅうしゅかのう,,
1920,通信量,つうしんりょう,,
1921,配属する,はいぞくする,,
1922,通信事業者,つうしんじぎょうしゃ,,
1923,抑制,よくせい,,
1924,包含する,ほうがんする,,
1925,ウェブブラウザ,うぇぶぶらうざ,,
1926,テンキー,てんきー,,
1927,現在地,げんざいち,,
1928,欠如,けつじょ,,
1929,切断する,せつだんする,,
1930,先読み,さきよみ,,
1931,称する,しょうする,,
1932,スペル,すぺる,,
1933,トランジスタ,とらんじすた,,
1934,パース,ぱーす,,
1935,広範囲,こうはんい,,
1936,メガバイト,めがばいと,,
1937,奨励する,しょうれいする,,
1938,進め方,すすめかた,,
1939,各々,おのおの,,
1940,スタティック,すたてぃっく,,
1941,ヘルプデスク,へるぷですく,,
1942,投影する,とうえいする,,
1943,多大,ただい,,
1944,予期する,よきする,,
1945,局面,きょくめん,,
1946,位置づけ,いちづけ,,
1947,情報科学,じょうほうかがく,,
1948,スピーディー,すぴーでぃー,,
1949,キラー,きらー,,
1950,慣習,かんしゅう,,
1951,バッチファイル,ばっちふぁいる,,
1952,補足,ほそく,,
1953,メカニズム,めかにずむ,,
1954,ワークスペース,わーくすぺーす,,
1955,ヒープ,ひーぷ,,
1956,シールド,しーるど,,
1957,モーション,もーしょん,,
1958,シンポジウム,しんぽじうむ,,
1959,ディレクトリー,でぃれくとりー,,
1960,音声合成,おんせいごうせい,,
1961,追加機能,ついかきのう,,
1962,システム設計,しすてむせっけい,,
1963,図面,ずめん,,
1964,ビットレート,びっとれーと,,
1965,ヘルス,へるす,,
1966,商取引,しょうとりひき,,
1967,エンドポイント,えんどぽいんと,,
1968,割愛,かつあい,,
1969,条件分岐,じょうけんぶんき,,
1970,給電,きゅうでん,,
1971,傾き,かたむき,,
1972,ファンクション,ふぁんくしょん,,
1973,補助する,ほじょする,,
1974,加盟する,かめいする,,
1975,取り出せる,とりだせる,,
1976,一元化する,いちげんかする,,
1977,出金,しゅっきん,,
1978,偽る,いつわる,,
1979,データファイル,でーたふぁいる,,
1980,干渉する,かんしょうする,,
1981,データ処理,でーたしょり,,
1982,スパムメール,すぱむめーる,,
1983,紛失,ふんしつ,,
1984,エレメント,えれめんと,,
1985,バンキング,ばんきんぐ,,
1986,メーラー,めーらー,,
1987,初歩,しょほ,,
1988,解除,かいじょ,,
1989,保存先,ほぞんさき,,
1990,対称,たいしょう,,
1991,アドイン,あどいん,,
1992,立案,りつあん,,
1993,障壁,しょうへき,,
1994,実行速度,じっこうそくど,,
1995,デバッガ,でばっが,,
1996,汎用機,はんようき,,
1997,ユーザー登録,ゆーざーとうろく,,
1998,再帰,さいき,,
1999,ギーク,ぎーく,,
2000,タッチパッド,たっちぱっど,,
2001,クローズド,くろーずど,,
2002,スライドショー,すらいどしょー,,
2003,台帳,だいちょう,,
2004,統合開発環境,とうごうかいはつかんきょう,,
2005,ディスク容量,でぃすくようりょう,,
2006,続行する,ぞっこうする,,
2007,終端,しゅうたん,,
2008,定点,ていてん,,
2009,サンドボックス,さんどぼっくす,,
2010,超過する,ちょうかする,,
2011,実証,じっしょう,,
2012,認知する,にんちする,,
2013,サブシステム,さぶしすてむ,,
2014,出版する,しゅっぱんする,,
2015,製品版,せいひんばん,,
2016,加味する,かみする,,
2017,後発,こうはつ,,
2018,仮想ドライブ,かそうどらいぶ,,
2019,寄与する,きよする,,
2020,周知,しゅうち,,
2021,発射する,はっしゃする,,
2022,合弁,ごうべん,,
2023,デバイスドライバ,でばいすどらいば,,
2024,専念する,せんねんする,,
2025,ユースケース,ゆーすけーす,,
2026,留意する,りゅういする,,
2027,階層構造,かいそうこうぞう,,
2028,バージョン管理システム,ばーじょんかんりしすてむ,,
2029,到達できる,とうたつできる,,
2030,異議,いぎ,,
2031,エンドツーエンド,えんどつーえんど,,
2032,呼称,こしょう,,
2033,総括,そうかつ,,
2034,トランスポート,とらんすぽーと,,
2035,ファイル転送,ふぁいるてんそう,,
2036,平文,ひらぶん,,
2037,痕跡,こんせき,,
2038,模倣する,もほうする,,
2039,妨げる,さまたげる,,
2040,結びつく,むすびつく,,
2041,割く,さく,,
2042,共有フォルダ,きょうゆうふぉるだ,,
2043,レジスタ,れじすた,,
2044,平均する,へいきんする,,
2045,暗証,あんしょう,,
2046,押下,おうか,,
2047,身の回り,みのまわり,,
2048,著書,ちょしょ,,
2049,電極,でんきょく,,
2050,テキストデータ,てきすとでーた,,
2051,転用する,てんようする,,
2052,受講する,じゅこうする,,
2053,視認,しにん,,
2054,関連製品,かんれんせいひん,,
2055,許容する,きょようする,,
2056,念頭,ねんとう,,
2057,売買,ばいばい,,
2058,公正,こうせい,,
2059,便宜,べんぎ,,
2060,コンデンサ,こんでんさ,,
2061,買い替える,かいかえる,,
2062,真偽,しんぎ,,
2063,フィル,ふぃる,,
2064,エスケープ,えすけーぷ,,
2065,ホワイトカラー,ほわいとからー,,
2066,固体,こたい,,
2067,排他,はいた,,
2068,ラジオボタン,らじおぼたん,,
2069,常駐,じょうちゅう,,
2070,プラズマ,ぷらずま,,
2071,入力データ,にゅうりょくでーた,,
2072,前身,ぜんしん,,
2073,縮める,ちじめる,,
2074,括る,くくる,,
2075,頒布,はんぷ,,
2076,フリーソフトウェア,ふりーそふとうぇあ,,
2077,長期間,ちょうきかん,,
2078,イントラネット,いんとらねっと,,
2079,リターン,りたーん,,
2080,書き手,かきて,,
2081,下請け,したうけ,,
2082,再設定,さいせってい,,
2083,上場,じょうじょう,,
2084,構成要素,こうせいようそ,,
2085,発火,はっか,,
2086,データ入力,でーたにゅうりょく,,
2087,ユーザー認証,ゆーざーにんしょう,,
2088,アイデンティティ,あいでんてぃてぃ,,
2089,リナックス,りなっくす,,
2090,フレームレート,ふれーむれーと,,
2091,区内,くない,,
2092,意気込む,いきごむ,,
2093,実演,じつえん,,
2094,推奨環境,すいしょうかんきょう,,
2095,メモリ容量,めもりようりょう,,
2096,引き渡す,ひきわたす,,
2097,抵触する,ていしょくする,,
2098,インプット,いんぷっと,,
2099,記帳,きちょう,,
2100,ツールキット,つーるきっと,,
2101,フリーウェア,ふりーうぇあ,,
2102,多次元,たじげん,,
2103,棄権,きけん,,
2104,進数,しんすう,,
2105,キャプション,きゃぷしょん,,
2106,疑わしい,うたがわしい,,
2107,コーポレート,こーぽれーと,,
2108,手始め,てはじめ,,
2109,タッチスクリーン,たっちすくりーん,,
2110,ワット,わっと,,
2111,仮名,かな,,
2112,通信キャリア,つうしんきゃりあ,,
2113,スケールアウト,すけーるあうと,,
2114,破綻,はたん,,
2115,シフトする,しふとする,,
2116,顕著,けんちょ,,
2117,分配する,ぶんぱいする,,
2118,プログラミングする,ぷろぐらみんぐする,,
2119,インデント,いんでんと,,
2120,リッピング,りっぴんぐ,,
2121,統計情報,とうけいじょうほう,,
2122,データ型,でーたがた,,
2123,応答時間,おうとうじかん,,
2124,挙がる,あがる,,
2125,総称,そうしょう,,
2126,仕様書,しようしょ,,
2127,洗い出す,あらいだす,,
2128,ファンクションキー,ふぁんくしょんきー,,
2129,隔週,かくしゅう,,
2130,点灯する,てんとうする,,
2131,匹敵する,ひってきする,,
2132,実名,じつめい,,
2133,フィックス,ふぃっくす,,
2134,思惑,しわく,,
2135,自動実行,じどうじっこう,,
2136,置き換わる,おきかわる,,
2137,原案,げんあん,,
2138,地理的,ちりてき,,
2139,カードリーダー,かーどりーだー,,
2140,日本語環境,にほんごかんきょう,,
2141,ずれ,ずれ,,
2142,電子ブック,でんしぶっく,,
2143,圧迫する,あっぱくする,,
2144,有効化,ゆうこうか,,
2145,オフショア開発,おふしょあかいはつ,,
2146,空き容量,あきようりょう,,
2147,商談,しょうだん,,
2148,テストケース,てすとけーす,,
2149,光ファイバー,ひかりふぁいばー,,
2150,据える,すえる,,
2151,滞る,とどこおる,,
2152,着手する,ちゃくしゅする,,
2153,マルチスレッド,まるちすれっど,,
2154,暗号化技術,あんごうかぎじゅつ,,
2155,実情,じつじょう,,
2156,記憶装置,きおくそうち,,
2157,振動する,しんどうする,,
2158,受け渡す,うけわたす,,
2159,アドバンテージ,あどばんてーじ,,
2160,三角形,さんかくけい,,
2161,言うまでもない,いうまでもない,,
2162,謳う,うたう,,
2163,要す,ようす,,
2164,ヒアリング,ひありんぐ,,
2165,アレイ,あれい,,
2166,事柄,ことがら,,
2167,インプレッション,いんぷれっしょん,,
2168,選び方,えらびかた,,
2169,サブクラス,さぶくらす,,
2170,協業,きょうぎょう,,
2171,月頃,つきごろ,,
2172,保存期間,ほぞんきかん,,
2173,中規模,ちゅうきぼ,,
2174,エンティティ,えんてぃてぃ,,
2175,正方形,せいほうけい,,
2176,一部分,いちぶぶん,,
2177,スレーブ,すれーぶ,,
2178,返答,へんとう,,
2179,シミュレータ,しみゅれーた,,
2180,直流,ちょくりゅう,,
2181,盗み出す,ぬすみだす,,
2182,バックボーン,ばっくぼーん,,
2183,入金する,にゅうきんする,,
2184,電源ユニット,でんげんゆにっと,,
2185,統括する,とうかつする,,
2186,貸し出す,かしだす,,
2187,外注,がいちゅう,,
2188,照会,しょうかい,,
2189,データベース管理者,でーたべーすかんりしゃ,,
2190,リテラル,りてらる,,
2191,通信システム,つうしんしすてむ,,
2192,マイニング,まいにんぐ,,
2193,節目,ふしめ,,
2194,あいまい,あいまい,,
2195,制御系,せいぎょけい,,
2196,楕円,だえん,,
2197,転送速度,てんそうそくど,,
2198,フロッピーディスク,ふろっぴーでぃすく,,
2199,契機,けいき,,
2200,専任,せんにん,,
2201,既定,きてい,,
2202,箇条,かじょう,,
2203,システム要件,しすてむようけん,,
2204,対価,たいか,,
2205,ドングル,どんぐる,,
2206,データ収集,でーたしゅうしゅう,,
2207,月例,げつれい,,
2208,シーケンシャル,しーけんしゃる,,
2209,修了,しゅうりょう,,
2210,厳重,げんじゅう,,
2211,併記する,へいきする,,
2212,ハンダ,はんだ,,
2213,抑止する,よくしする,,
2214,ブロードキャスト,ぶろーどきゃすと,,
2215,コンソーシアム,こんそーしあむ,,
2216,操縦,そうじゅう,,
2217,ジャイロ,じゃいろ,,
2218,対話型,たいわがた,,
2219,隠蔽する,いんぺいする,,
2220,通信機器,つうしんきき,,
2221,転出,てんしゅつ,,
2222,エミュレーション,えみゅれーしょん,,
2223,網羅する,もうらする,,
2224,演算子,えんざんし,,
2225,文中,ぶんちゅう,,
2226,条文,じょうぶん,,
2227,発信元,はっしんもと,,
2228,データモデル,でーたもでる,,
2229,ネットワーク構成,ねっとわーくこうせい,,
2230,羅列,られつ,,
2231,入力画面,にゅうりょくがめん,,
2232,交付,こうふ,,
2233,慣れ親しむ,なれしたしむ,,
2234,水平方向,すいへいほうこう,,
2235,冗長化,じょうちょうか,,
2236,罫線,けいせん,,
2237,リブート,りぶーと,,
2238,言い換える,いいかえる,,
2239,局所,きょくしょ,,
2240,領収,りょうしゅう,,
2241,スケーラビリティ,すけーらびりてぃ,,
2242,人力,じんりき,,
2243,左端,ひだりはし,,
2244,受注,じゅちゅう,,
2245,ペイン,ぺいん,,
2246,メンバ,めんば,,
2247,サジェスト,さじぇすと,,
2248,束ねる,たばねる,,
2249,仮想サーバ,かそうさーば,,
2250,ワーキング,わーきんぐ,,
2251,区画,くかく,,
2252,共存する,きょうぞんする,,
2253,ロールバック,ろーるばっく,,
2254,アウトライン,あうとらいん,,
2255,ターニングポイント,たーにんぐぽいんと,,
2256,遅らせる,おくらせる,,
2257,データ形式,でーたけいしき,,
2258,増分,ぞうぶん,,
2259,分散型,ぶんさんがた,,
2260,ソフトウェア製品,そふとうぇあせいひん,,
2261,連想,れんそう,,
2262,作法,さほう,,
2263,発案,はつあん,,
2264,旧式,きゅうしき,,
2265,スパコン,すぱこん,,
2266,メモリ領域,めもりりょういき,,
2267,一見,いっけん,,
2268,反復,はんぷく,,
2269,ハードディスクドライブ,はーどでぃすくどらいぶ,,
2270,索引,さくいん,,
2271,スクロールバー,すくろーるばー,,
2272,手がかり,てがかり,,
2273,則る,のっとる,,
2274,ギガバイト,ぎがばいと,,
2275,ブランク,ぶらんく,,
2276,特異,とくい,,
2277,リレーション,りれーしょん,,
2278,追い抜く,おいぬく,,
2279,通話,つうわ,,
2280,メカニカル,めかにかる,,
2281,ロガー,ろがー,,
2282,サウンドカード,さうんどかーど,,
2283,作製する,さくせいする,,
2284,ビットマップ,びっとまっぷ,,
2285,数理,すうり,,
2286,くらべる,くらべる,,
2287,目処,めど,,
2288,切り分ける,きりわける,,
2289,伝達,でんたつ,,
2290,測位,そくい,,
2291,ウェブアプリケーション,うぇぶあぷりけーしょん,,
2292,浮動小数点演算,ふどうしょうすうてんえんざん,,
2293,ロギング,ろぎんぐ,,
2294,関数型プログラミング,かんすうがたぷろぐらみんぐ,,
2295,公益,こうえき,,
2296,ヒートシンク,ひーとしんく,,
2297,書体,しょたい,,
2298,合わさる,あわさる,,
2299,世界規模,せかいきぼ,,
2300,プロビジョニング,ぷろびじょにんぐ,,
2301,ハイパーリンク,はいぱーりんく,,
2302,修飾,しゅうしょく,,
2303,培う,つちかう,,
2304,フォワード,ふぉわーど,,
2305,映し出す,うつしだす,,
2306,専攻,せんこう,,
2307,デジタル化,でじたるか,,
2308,創出,そうしゅつ,,
2309,難解,なんかい,,
2310,バルク,ばるく,,
2311,変量,へんりょう,,
2312,印字する,いんじする,,
2313,町村,ちょうそん,,
2314,免責,めんせき,,
2315,ばらつき,ばらつき,,
2316,アプリケーション層,あぷりけーしょんそう,,
2317,課程,かてい,,
2318,拡大縮小,かくだいしゅくしょう,,
2319,コンバータ,こんばーた,,
2320,私用,しよう,,
2321,都度,つど,,
2322,力学,りきがく,,
2323,書き留める,かきとめる,,
2324,様式,ようしき,,
2325,中途,ちゅうと,,
2326,増減する,ぞうげんする,,
2327,パーソナルコンピュータ,ぱーそなるこんぴゅーた,,
2328,根底,こんてい,,
2329,たやすい,たやすい,,
2330,図示する,ずしする,,
2331,退会,たいかい,,
2332,機械語,きかいご,,
2333,変遷する,へんせんする,,
2334,即す,そくす,,
2335,年次,ねんじ,,
2336,アサイン,あさいん,,
2337,難点,なんてん,,
2338,アセンブラ,あせんぶら,,
2339,サマリー,さまりー,,
2340,サイコロ,さいころ,,
2341,キャラクタ,きゃらくた,,
2342,発信者,はっしんしゃ,,
2343,反面,はんめん,,
2344,シビア,しびあ,,
2345,海賊版,かいぞくばん,,
2346,人脈,じんみゃく,,
2347,詳細設定,しょうさいせってい,,
2348,貧弱,ひんじゃく,,
2349,アルファ版,あるふぁばん,,
2350,年数,ねんすう,,
2351,括弧,かっこ,,
2352,主導,しゅどう,,
2353,グラフィックカード,ぐらふぃっくかーど,,
2354,走行する,そうこうする,,
2355,引き継ぎ,ひきつぎ,,
2356,トップダウン,とっぷだうん,,
2357,俯瞰する,ふかんする,,
2358,ダウンタイム,だうんたいむ,,
2359,検索条件,けんさくじょうけん,,
2360,コンマ,こんま,,
2361,複写,ふくしゃ,,
2362,ワークシート,わーくしーと,,
2363,有識者,ゆうしきしゃ,,
2364,オフセット,おふせっと,,
2365,曲面,きょくめん,,
2366,ローダ,ろーだ,,
2367,躊躇する,ちゅうちょする,,
2368,実行時間,じっこうじかん,,
2369,アドホック,あどほっく,,
2370,導入済み,どうにゅうずみ,,
2371,メインメモリ,めいんめもり,,
2372,バックする,ばっくする,,
2373,セレクタ,せれくた,,
2374,張り付ける,はりつける,,
2375,推論,すいろん,,
2376,条件指定,じょうけんしてい,,
2377,紙面,しめん,,
2378,定理,ていり,,
2379,プレインストール,ぷれいんすとーる,,
2380,チェックポイント,ちぇっくぽいんと,,
2381,クローズ,くろーず,,
2382,マージン,まーじん,,
2383,ハンドリング,はんどりんぐ,,
2384,当てはめる,あてはめる,,
2385,細分,さいぶん,,
2386,装飾する,そうしょくする,,
2387,ファイリング,ふぁいりんぐ,,
2388,パイプライン,ぱいぷらいん,,
2389,混沌,こんとん,,
2390,通信プロトコル,つうしんぷろとこる,,
2391,退避する,たいひする,,
2392,切り開く,きりひらく,,
2393,挑戦,ちょうせん,,
2394,ステート,すてーと,,
2395,ズームレンズ,ずーむれんず,,
2396,ボトムアップ,ぼとむあっぷ,,
2397,草案,そうあん,,
2398,自動抽出,じどうちゅうしゅつ,,
2399,情報処理技術者試験,じょうほうしょりぎじゅつしゃしけん,,
2400,編集機能,へんしゅうきのう,,
2401,情報検索,じょうほうけんさく,,
2402,商社,しょうしゃ,,
2403,シンセサイザー,しんせさいざー,,
2404,表題,ひょうだい,,
2405,常用,じょうよう,,
2406,管理対象,かんりたいしょう,,
2407,液晶パネル,えきしょうぱねる,,
2408,宛名,あてな,,
2409,他方,たほう,,
2410,観察,かんさつ,,
2411,採取する,さいしゅする,,
2412,マトリックス,まとりっくす,,
2413,ロードバランサ,ろーどばらんさ,,
2414,整合,せいごう,,
2415,プロプライエタリ,ぷろぷらいえたり,,
2416,構成管理,こうせいかんり,,
2417,ストップする,すとっぷする,,
2418,業態,ぎょうたい,,
2419,デモンストレーション,でもんすとれーしょん,,
2420,作用する,さようする,,
2421,最小構成,さいしょうこうせい,,
2422,定量,ていりょう,,
2423,ペナルティ,ぺなるてぃ,,
2424,負荷テスト,ふかてすと,,
2425,ページビュー,ぺーじびゅー,,
2426,代える,かえる,,
2427,ローディング,ろーでぃんぐ,,
2428,アプリケーション開発者,あぷりけーしょんかいはつしゃ,,
2429,スパン,すぱん,,
2430,ディメンション,でぃめんしょん,,
2431,バリデーション,ばりでーしょん,,
2432,見受ける,みうける,,
2433,期限切れ,きげんぎれ,,
2434,遂行,すいこう,,
2435,無音,むおん,,
2436,感知,かんち,,
2437,項目名,こうもくめい,,
2438,プレゼン,ぷれぜん,,
2439,更新履歴,こうしんりれき,,
2440,占有,せんゆう,,
2441,広義,こうぎ,,
2442,数行,すうぎょう,,
2443,非圧縮,ひあっしゅく,,
2444,責務,せきむ,,
2445,ツリー構造,つりーこうぞう,,
2446,自然言語処理,しぜんげんごしょり,,
2447,スケーリング,すけーりんぐ,,
2448,雛形,ひながた,,
2449,ビーコン,びーこん,,
2450,脚注,きゃくちゅう,,
2451,通れる,とおれる,,
2452,善意,ぜんい,,
2453,ギガビット,ぎがびっと,,
2454,過大,かだい,,
2455,参画,さんかく,,
2456,フィンガー,ふぃんがー,,
2457,盗聴,とうちょう,,
2458,イベントログ,いべんとろぐ,,
2459,抜き取る,ぬきとる,,
2460,後続,こうぞく,,
2461,ブラックボックス,ぶらっくぼっくす,,
2462,行間,ぎょうかん,,
2463,成果物,せいかぶつ,,
2464,スピンドル,すぴんどる,,
2465,乱立,らんりつ,,
2466,体現する,たいげんする,,
2467,細工,さいく,,
2468,多人数,たにんずう,,
2469,クロール,くろーる,,
2470,エミュレートする,えみゅれーと,,
2471,ハンドラ,はんどら,,
2472,参照先,さんしょうさき,,
2473,重点的,じゅうてんてき,,
2474,官庁,かんちょう,,
2475,ベンチマークテスト,べんちまーくてすと,,
2476,頭打ち,あたまうち,,
2477,矩形,くけい,,
2478,デコードする,でこーどする,,
2479,下期,しもき,,
2480,バックアップファイル,ばっくあっぷふぁいる,,
2481,推計,すいけい,,
2482,色分けする,いろわけする,,
2483,ベンダ,べんだ,,
2484,取りこぼす,とりこぼす,,
2485,非対称,ひたいしょう,,
2486,運搬,うんぱん,,
2487,文字の大きさ,もじのおおきさ,,
2488,離散,りさん,,
2489,モノリシック,ものりしっく,,
2490,環状,かんじょう,,
2491,混合する,こんごうする,,
2492,数種類,すうしゅるい,,
2493,プラスアルファ,ぷらすあるふぁ,,
2494,下限,かげん,,
2495,物品,ぶっぴん,,
2496,ピア,ぴあ,,
2497,実行形式,じっこうけいしき,,
2498,横長,よこなが,,
2499,内包する,ないほうする,,
2500,仮想的,かそうてき,,
2501,可読性,かどくせい,,
2502,全画面,ぜんめんてき,,
2503,データ変換,でーたへんかん,,
2504,ウェブサーバ,うぇぶさーば,,
2505,付箋,ふせん,,
2506,デジタル署名,でじたるしょめい,,
2507,記憶媒体,きおくばいたい,,
2508,立方体,りっぽうたい,,
2509,ジャバ,じゃば,,
2510,ディレクトリ名,でぃれくとりめい,,
2511,普遍,ふへん,,
2512,館内,かんない,,
2513,インジケータ,いんじけーた,,
2514,経過時間,けいかじかん,,
2515,ステータスバー,すてーたすばー,,
2516,フローチャート,ふろーちゃーと,,
2517,ネットワーク監視,ねっとわーくかんし,,
2518,簡便,かんべん,,
2519,帳簿,ちょうぼ,,
2520,分担,ぶんたん,,
2521,重ね合う,かさねあう,,
2522,カウンタ,かうんた,,
2523,再送,さいそう,,
2524,完全対応,かんぜんたいおう,,
2525,線分,せんぶん,,
2526,タグ付け,たぐづけ,,
2527,代数,だいすう,,
2528,肥大,ひだい,,
2529,行番号,ぎょうばんごう,,
2530,多角,たかく,,
2531,流儀,りゅうぎ,,
2532,太字,ふとじ,,
2533,テキスト形式,てきすとけいしき,,
2534,まちまち,まちまち,,
2535,磁気テープ,じきてーぷ,,
2536,エラー処理,えらーしょり,,
2537,首尾,しゅび,,
2538,コーパス,こーぱす,,
2539,死活,しかつ,,
2540,一段,いちだん,,
2541,プラットホーム,ぷらっとほーむ,,
2542,似せる,にせる,,
2543,方眼,ほうがん,,
2544,ブラケット,ぶらけっと,,
2545,セマンティック,せまんてぃっく,,
2546,実数,じっすう,,
2547,セルフサービス,せるふさーびす,,
2548,プランニング,ぷらんにんぐ,,
2549,コンピュータシステム,こんぴゅーたしすてむ,,
2550,供与,きょうよ,,
2551,前置き,まえおき,,
2552,印刷物,いんさつぶつ,,
2553,ゆがみ,ゆがみ,,
2554,起動ディスク,きどうでぃすく,,
2555,サブドメイン,さぶどめいん,,
2556,サブルーチン,さぶるーちん,,
2557,起動画面,きどうがめん,,
2558,キーワード検索,きーわーどけんさく,,
2559,下層,かそう,,
2560,ホワイトペーパー,ほわいとぺーぱー,,
2561,省略できる,しょうりゃくできる,,
2562,クロスサイトスクリプティング,くろすさいとすくりぷてぃんぐ,,
2563,ステージング,すいてーじんぐ,,
2564,例示,れいじ,,
2565,運行する,うんこうする,,
2566,末端,まったん,,
2567,マウスポインタ,まうすぽいんた,,
2568,委譲,いじょう,,
2569,キーストローク,きーすとろーく,,
2570,標準的,ひょうじゅんてき,,
2571,決定,けってい,,
2572,データベースエンジン,でーたべーすえんじん,,
2573,こたえる,こたえる,,
2574,有意,ゆうい,,
2575,仮想メモリ,かそうめもり,,
2576,ファイル管理,ふぁいるかんり,,
2577,移り変わる,うつりかわる,,
2578,巻き起こす,まきおこす,,
2579,塗りつぶす,ぬりつぶす,,
2580,総量,そうりょう,,
2581,電信,でんしん,,
2582,人月,にんげつ,,
2583,ネットワーク管理,ねっとわーくかんり,,
2584,アタッチ,あたっち,,
2585,フルバージョン,ふるばーじょん,,
2586,コミットメント,こみっとめんと,,
2587,始動する,しどうする,,
2588,拡張スロット,かくちょうすろっと,,
2589,空欄,くうらん,,
2590,明暗,めいあん,,
2591,収束する,しゅうそくする,,
2592,科す,かす,,
2593,ルーツ,るーつ,,
2594,先方,せんぽう,,
2595,算定,さんてい,,
2596,クリーンインストール,くりーんいんすとーる,,
2597,指し示す,さししめす,,
2598,ビジネスロジック,びじねすろじっく,,
2599,煩わしい,わずらわしい,,
2600,枯渇,こかつ,,
2601,デフラグ,でふらぐ,,
2602,折衝,せっしょう,,
2603,旧版,きゅうはん,,
2604,アクセス許可,あくせすきょか,,
